Epic | Persona | User Story | Acceptance Criteria
Authentication & Profile | hirer | As a hirer I want to sign up so that I can access the platform | Given I am on the sign-up page When I fill in valid details (name, email, phone, password) and submit Then my account is created and I am redirected to sign in
Authentication & Profile | vendor | As a vendor I want to sign up so that I can list my venues on the platform | Given I am on the sign-up page When I select Vendor and fill in my business name, email, phone and password and submit Then my vendor account is created and I am redirected to sign in
Authentication & Profile | hirer/vendor | As a user I want to see password validation feedback so that I know my password meets the requirements | Given I am filling in the password field When I type a password missing an uppercase letter, lowercase letter, or special character Then an error message is shown
Authentication & Profile | hirer/vendor | As a user I want to sign in so that I can access my account | Given I have an existing account When I enter my correct email and password and click Sign In Then I am logged in and see a Welcome message with my name
Authentication & Profile | hirer/vendor | As a user I want to sign out so that my session ends securely | Given I am logged in When I click Sign Out from the account menu Then I am logged out and redirected to the sign in page
Authentication & Profile | hirer | As a hirer I want to view my profile so that I can see my account details and join date | Given I am logged in as a hirer When I click View Account in the account menu Then I see my name, email, phone number, and the date I joined
Authentication & Profile | hirer | As a hirer I want to edit my profile so that I can keep my details up to date | Given I am on the profile page When I click Edit and update my first name, last name or phone number and save Then the updated details are saved and shown
Hirer - Venue Discovery | hirer | As a hirer I want to browse all active venues so that I can find a place for my event | Given I am logged in as a hirer and on the Venues tab When the page loads Then I see all active venues with their name, location, capacity, price and image
Hirer - Venue Discovery | hirer | As a hirer I want to search venues by name so that I can quickly find a specific venue | Given I am on the Venues tab When I type a venue name in the search box Then only venues with matching names are displayed
Hirer - Venue Discovery | hirer | As a hirer I want to filter venues by suburb so that I can find venues in a preferred location | Given I am on the Venues tab When I type a suburb name in the location filter Then only venues in that suburb are displayed
Hirer - Venue Discovery | hirer | As a hirer I want to filter venues by minimum capacity so that I can find venues large enough for my event | Given I am on the Venues tab When I enter a minimum capacity number Then only venues with capacity greater than or equal to that number are shown
Hirer - Venue Discovery | hirer | As a hirer I want to filter venues by suitability keyword so that I can find venues suited to my event type | Given I am on the Venues tab When I select a keyword such as wedding or tennis from the suitability dropdown Then only venues tagged with that keyword are displayed
Hirer - Venue Discovery | hirer | As a hirer I want to shortlist a venue so that I can save it and review it later | Given I am browsing venues When I click the shortlist button on a venue card Then the venue is added to my shortlist
Hirer - Venue Discovery | hirer | As a hirer I want to remove a venue from my shortlist so that I can manage my saved venues | Given I am on the Shortlist tab When I click remove on a venue Then that venue is removed from my shortlist
Hirer - Venue Discovery | hirer | As a hirer I want to view my shortlisted venues so that I can compare them before booking | Given I have shortlisted at least one venue When I go to the Shortlist tab Then I see all my saved venues with their details
Hirer - Booking Management | hirer | As a hirer I want to submit a booking application for a venue so that I can request to use it for my event | Given I have selected a venue When I fill in the event name, date, number of guests and duration and submit Then a booking request is created with a Pending status
